"id","sub_unit","unit_id","created_at","updated_at"
"0","Pemerintah Kota Pekanbaru","0","2026-01-31 15:22:45","2026-02-01 01:12:24"
"1","Sekretariat Daerah","1","2026-01-31 15:22:45","2026-02-01 01:12:39"
"2","Sekretariat DPRD","2","2026-01-31 15:22:45","2026-01-31 15:22:45"
"3","Badan Kepegawaian dan Pengembangan SDM","3","2026-01-31 15:22:45","2026-01-31 15:22:45"
"4","Badan Perencanaan dan Pembangunan Daerah","4","2026-01-31 15:22:45","2026-01-31 15:22:45"
"5","Badan Penelitian dan Pengembangan","5","2026-01-31 15:22:45","2026-01-31 15:22:45"
"6","Badan Pengelola Keuangan dan Aset Daerah","6","2026-01-31 15:22:45","2026-01-31 15:22:45"
"7","Badan Pendapatan Daerah","7","2026-01-31 15:22:45","2026-01-31 15:22:45"
"8","Badan Kesatuan Bangsa dan Politik","8","2026-01-31 15:22:45","2026-01-31 15:22:45"
"9","Dinas Pendidikan","9","2026-01-31 15:22:45","2026-01-31 15:22:45"
"10","Dinas Kesehatan","10","2026-01-31 15:22:45","2026-01-31 15:22:45"
"11","Dinas Pekerjaan Umum dan Penataan Ruang","11","2026-01-31 15:22:45","2026-01-31 15:22:45"
"13","Dinas Perumahan Rakyat dan Kawasan Permukiman","13","2026-01-31 15:22:45","2026-01-31 15:22:45"
"14","Dinas Sosial","14","2026-01-31 15:22:45","2026-01-31 15:22:45"
"15","Dinas Pemadam Kebakaran dan Penyelamatan","15","2026-01-31 15:22:45","2026-01-31 15:22:45"
"16","Dinas Tenaga Kerja","16","2026-01-31 15:22:45","2026-01-31 15:22:45"
"17","Dinas Pemberdayaan Perempuan dan Perlindungan Anak","17","2026-01-31 15:22:45","2026-01-31 15:22:45"
"18","Dinas Ketahanan Pangan","18","2026-01-31 15:22:45","2026-01-31 15:22:45"
"19","Dinas Pertanahan","19","2026-01-31 15:22:45","2026-01-31 15:22:45"
"20","Dinas Lingkungan Hidup dan Kebersihan","20","2026-01-31 15:22:45","2026-01-31 15:22:45"
"21","Dinas Kependudukan dan Pencatatan Sipil","21","2026-01-31 15:22:45","2026-01-31 15:22:45"
"22","Dinas Pengendalian Penduduk dan Keluarga Berencana","22","2026-01-31 15:22:45","2026-01-31 15:22:45"
"23","Dinas Perhubungan","23","2026-01-31 15:22:46","2026-01-31 15:22:46"
"24","Dinas Komunikasi, Informatika, Statistik Dan Persandian","24","2026-01-31 15:22:46","2026-01-31 15:22:46"
"25","Dinas Koperasi , Usaha Kecil, Dan Menengah","25","2026-01-31 15:22:46","2026-01-31 15:22:46"
