id;date;year;category;description;created_at;updated_at
1;2019-01-01;2019;Libur;Tahun Baru 2019 Masehi;\N;2020-01-19 13:58:16
2;2019-02-05;2019;Libur;Tahun Baru Imlek 2570 Kongzili;\N;2020-03-04 10:46:37
3;2019-03-07;2019;Libur;Tanggal Merah;\N;2020-01-19 13:58:55
4;2019-04-03;2019;Libur;Isra' Mi'raj;\N;\N
5;2019-04-19;2019;Libur;Jumat Agung (Paskah);\N;\N
6;2019-04-17;2019;Libur;Pilpres;\N;2020-01-25 14:33:50
7;2019-05-01;2019;Libur;Hari Buruh;\N;\N
8;2019-05-19;2019;Libur;Hari Waisak;\N;\N
9;2019-05-30;2019;Libur;Kenaikan Isa Almasih;\N;\N
10;2019-06-01;2019;Libur;Hari Lahir Pancasila;\N;\N
11;2019-06-03;2019;Libur;Cuti Bersama Lebaran;\N;2020-03-04 10:46:25
12;2019-06-04;2019;Libur;Cuti Bersama Lebaran;\N;2020-03-04 10:46:19
13;2019-06-05;2019;Libur;Hari Raya Idul Fitri;\N;2020-03-04 10:46:13
14;2019-06-06;2019;Libur;Hari Raya Idul Fitri;\N;2020-03-04 10:46:04
17;2019-06-07;2019;Libur;Cuti Bersama Lebaran;\N;2020-03-04 10:45:41
18;2020-01-01;2020;Libur;Tahun Baru 2020 Masehi;\N;2020-03-04 10:37:07
19;2020-01-25;2020;Libur;Tahun Baru Imlek 2571 Kongzili;\N;2020-01-26 09:16:56
20;\N;\N;;;2020-03-04 10:37:26;2020-03-04 10:37:26
22;2020-03-22;2020;Libur;Isra Mi'raj;2020-03-04 10:38:22;2020-03-04 10:38:22
23;2020-03-25;2020;Libur;Hari Suci Nyepi;2020-03-04 10:38:46;2020-03-04 10:38:46
24;2020-04-10;2020;Libur;Jumat Agung;2020-03-04 10:39:09;2020-03-04 10:39:09
25;2020-05-01;2020;Libur;Hari Buruh;2020-03-04 10:39:31;2020-03-04 10:39:31
26;2020-05-07;2020;Libur;Hari Waisak;2020-03-04 10:39:46;2020-03-04 10:39:46
27;2020-05-21;2020;Libur;Kenaikan Isa Almasih;2020-03-04 10:39:59;2020-03-04 10:39:59
29;2020-05-24;2020;Libur;Hari Raya Idul Fitri;2020-03-04 10:40:42;2020-03-04 10:40:42
30;2020-05-25;2020;Libur;Hari Raya Idul Fitri;2020-03-04 10:41:05;2020-03-04 10:41:05
33;2020-06-01;2020;Libur;Hari Lahir Pancasila;2020-03-04 10:41:40;2020-03-04 10:41:40
34;2020-07-31;2020;Libur;Idul Adha;2020-03-04 10:41:58;2020-03-04 10:41:58
35;2020-08-17;2020;Libur;Hari Kemerdekaan;2020-03-04 10:42:24;2020-03-04 10:42:24
36;2020-08-20;2020;Libur;Tahun Baru Islam;2020-03-04 10:42:40;2020-03-04 10:42:40
37;2020-10-29;2020;Libur;Maulid Nabi Muhammad SAW;2020-03-04 10:42:54;2020-03-04 10:42:54
38;2020-12-24;2020;Libur;Cuti Bersama Hari Natal;2020-03-04 10:43:13;2020-03-04 10:43:13
39;\N;\N;;;2020-03-04 10:43:19;2020-03-04 10:43:19
40;\N;\N;;;2020-03-04 10:43:23;2020-03-04 10:43:23
41;2020-12-25;2020;Libur;Hari Natal;2020-03-04 10:43:55;2020-03-04 10:43:55
42;2020-03-16;2020;Libur;Siaga Covid-19;2020-04-01 09:57:02;2020-04-01 09:57:02
43;2020-03-17;2020;Libur;Siaga Covid-19;2020-04-01 09:57:36;2020-04-01 09:57:36
44;2020-03-18;2020;Libur;Siaga Covid-19;2020-04-01 09:57:53;2020-04-01 09:57:53
45;2020-03-19;2020;Libur;Siaga Covid-19;2020-04-01 09:58:03;2020-04-01 09:58:03
48;\N;\N;;;2020-04-01 09:58:34;2020-04-01 09:58:34
49;\N;\N;;;2020-04-01 09:58:47;2020-04-01 09:58:47
